video_id	attribute	url
47	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=aed245/size=644_414/affi_id=10278-996/
47	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=aed245/size=720_480/affi_id=10278-996/
48	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=rbk00110/size=476_306/affi_id=10278-996/
48	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=rbk00110/size=560_360/affi_id=10278-996/
48	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=rbk00110/size=644_414/affi_id=10278-996/
48	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=rbk00110/size=720_480/affi_id=10278-996/
49	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00302/size=476_306/affi_id=10278-996/
49	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00302/size=560_360/affi_id=10278-996/
49	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00302/size=644_414/affi_id=10278-996/
49	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00302/size=720_480/affi_id=10278-996/
50	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00295/size=476_306/affi_id=10278-996/
50	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00295/size=560_360/affi_id=10278-996/
50	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00295/size=644_414/affi_id=10278-996/
50	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00295/size=720_480/affi_id=10278-996/
51	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00291/size=476_306/affi_id=10278-996/
51	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00291/size=560_360/affi_id=10278-996/
51	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00291/size=644_414/affi_id=10278-996/
51	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00291/size=720_480/affi_id=10278-996/
52	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00290/size=476_306/affi_id=10278-996/
52	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00290/size=560_360/affi_id=10278-996/
52	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00290/size=644_414/affi_id=10278-996/
52	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00290/size=720_480/affi_id=10278-996/
53	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00289/size=476_306/affi_id=10278-996/
53	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00289/size=560_360/affi_id=10278-996/
53	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00289/size=644_414/affi_id=10278-996/
53	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00289/size=720_480/affi_id=10278-996/
54	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00288/size=476_306/affi_id=10278-996/
54	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00288/size=560_360/affi_id=10278-996/
54	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00288/size=644_414/affi_id=10278-996/
54	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00288/size=720_480/affi_id=10278-996/
55	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00284/size=476_306/affi_id=10278-996/
55	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00284/size=560_360/affi_id=10278-996/
55	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00284/size=644_414/affi_id=10278-996/
55	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00284/size=720_480/affi_id=10278-996/
56	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00283/size=476_306/affi_id=10278-996/
56	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00283/size=560_360/affi_id=10278-996/
56	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00283/size=644_414/affi_id=10278-996/
56	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00283/size=720_480/affi_id=10278-996/
58	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00279/size=476_306/affi_id=10278-996/
58	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00279/size=560_360/affi_id=10278-996/
58	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00279/size=644_414/affi_id=10278-996/
58	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00279/size=720_480/affi_id=10278-996/
59	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00273/size=476_306/affi_id=10278-996/
59	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00273/size=560_360/affi_id=10278-996/
59	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00273/size=644_414/affi_id=10278-996/
59	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00273/size=720_480/affi_id=10278-996/
60	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgb00004/size=476_306/affi_id=10278-996/
60	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgb00004/size=560_360/affi_id=10278-996/
60	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgb00004/size=644_414/affi_id=10278-996/
60	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgb00004/size=720_480/affi_id=10278-996/
61	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=rki00062/size=476_306/affi_id=10278-996/
61	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=rki00062/size=560_360/affi_id=10278-996/
61	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=rki00062/size=644_414/affi_id=10278-996/
61	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=rki00062/size=720_480/affi_id=10278-996/
62	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=midd00599/size=476_306/affi_id=10278-996/
