id	attribute	url	video_id
142	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00290/size=560_360/affi_id=10278-996/	52
143	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00290/size=644_414/affi_id=10278-996/	52
144	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00290/size=720_480/affi_id=10278-996/	52
145	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00289/size=476_306/affi_id=10278-996/	53
146	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00289/size=560_360/affi_id=10278-996/	53
147	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00289/size=644_414/affi_id=10278-996/	53
148	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00289/size=720_480/affi_id=10278-996/	53
149	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00288/size=476_306/affi_id=10278-996/	54
150	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00288/size=560_360/affi_id=10278-996/	54
151	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00288/size=644_414/affi_id=10278-996/	54
152	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00288/size=720_480/affi_id=10278-996/	54
153	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00284/size=476_306/affi_id=10278-996/	55
154	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00284/size=560_360/affi_id=10278-996/	55
155	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00284/size=644_414/affi_id=10278-996/	55
156	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00284/size=720_480/affi_id=10278-996/	55
157	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00283/size=476_306/affi_id=10278-996/	56
158	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00283/size=560_360/affi_id=10278-996/	56
159	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00283/size=644_414/affi_id=10278-996/	56
160	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00283/size=720_480/affi_id=10278-996/	56
161	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00279/size=476_306/affi_id=10278-996/	58
162	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00279/size=560_360/affi_id=10278-996/	58
163	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00279/size=644_414/affi_id=10278-996/	58
164	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00279/size=720_480/affi_id=10278-996/	58
165	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00273/size=476_306/affi_id=10278-996/	59
166	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00273/size=560_360/affi_id=10278-996/	59
167	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00273/size=644_414/affi_id=10278-996/	59
168	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00273/size=720_480/affi_id=10278-996/	59
169	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgb00004/size=476_306/affi_id=10278-996/	60
170	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgb00004/size=560_360/affi_id=10278-996/	60
171	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgb00004/size=644_414/affi_id=10278-996/	60
172	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgb00004/size=720_480/affi_id=10278-996/	60
173	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=rki00062/size=476_306/affi_id=10278-996/	61
