id	code	title	dmm_id	description	release_date	length	label	series_id	maker_id
2887	BF-424	春菜はながギャルでコスって中出しお宅訪問	bf00424	あの大人気AV女優「春菜はな」がギャルに変身してBeFreeに再び登場！しかも特注エロコスプレに着替えて素人お宅に突撃訪問しちゃいます！部屋に入るなり家宅捜索！？ファンと触れ合う完全プライベートハメ撮りSEX＆業界屈指の男優による中出しファックでイキまくり…！抜きどころ満載のノンストップドキュメントSEXがここにある！こんなはなちゃん見たことない！	2015-12-03			11634	3241
2888	SHKD-647	夫の目の前で犯●れて- 真夏の夜の悪夢 春菜はな	shkd00647	若妻の舞は、手配中の強●魔に犯●れてしまう。舞の家に居座り続ける男は肉欲の塊。昼夜問わず舞の熟れた肉を貪る。夫への変わらぬ愛――理性とは裏腹に、男の荒々しい欲望に汗を滴らせ、真夏の夜に若妻の本能が揺れ動く。	2015-11-01			5864	102
2889	SHKD-645	隣に引っ越してきた巨乳お姉さんを犯して 春菜はな	shkd00645	幼い頃から父の背中を見て育った僕は父と同じ弁護士を目指し、司法試験に向けた勉強をするため、実家を離れて一人暮らししている。アルバイトと勉強に勤しむ毎日。そんな単調な毎日を送っていたあの頃、僕の前に現れたのは…。	2015-10-03				102
2890	JBD-191	緊縛女体遊戯2 春菜はな	jbd00191	此処は地下深くに作られた薄暗く不気味な研究室。研究室とは名ばかりのこの地下室で、夜毎開かれている宴では、いやらしく調教された女が華を添える。本日のメインディッシュは旦那を献身的に支える巨乳妻、はな。	2015-09-05			11219	102
2891	ADN-069	淫猥エステルーム 春菜はな	adn00069	いつも通りの朝、愛する夫を送りだした早苗。しかし、突如として平凡な毎日に終止符が…。買い物帰りに近所の奥様たちと鉢合わせた早苗は、勧められるがままに、とあるエステに行くことになり…。	2015-08-01				102
2892	SHKD-626	脱獄者 春菜はな	shkd00626	女教師の千鶴は体育倉庫に潜伏中の連続強●魔・阿久津と遭遇。ナイフを首筋に当てられて脅迫されて…阿久津は千鶴の運転する車で彼女の自宅へと移動する。…そして、解き放たれた淫鬼の性欲は、女教師の美乳を歪み潰す…。	2015-07-04			23565	102
2893	RBD-687	焼印の女2 春菜はな	rbd00687	結婚を間近に控え、充実した日々を送る看護師の美奈子。気さくな人柄と根っからの面倒見の良さで入院患者たちからも慕われていた。そんな中、美奈子は入院患者の後藤が眠る病室でおびただしい数の卑猥な写真を見つけてしまう…	2015-06-04			41186	102
2894	ADN-060	あなた、許して…。 男やもめのブルース3 春菜はな	adn00060	夫が腹痛を訴えるも多忙を理由に病院に行かず、結果入院。診察を受けさせていれば…と自分を責めた奈々子は夫の看病に精を出した。入院患者・河合は献身的な奈々子に欲情し、カーテン越しの夫妻に聞き耳を立てるのであった。	2015-05-03			778	102
2895	BF-376	ボンデージガール 超絶中出し痙攣SEX 春菜はな	bf00376	眠らないこの街にボンデージを身に纏い男を誘惑する女たちがいるという…。そんなある日、我々が出会ったのは業界No1のボディーを持つとある女。服の上からでもわかるその大きな胸はなんとKカップ！興奮を隠せない我々は…。	2015-04-04			37433	3241
2896	MEYD-003	僕だけの巨乳女教師ペット 春菜はな	meyd00003	ある生徒のいいなりの女教師・はな。放課後、拘束され爆乳を揉みしだかれフェラを強要される。さらに乳首の透けるぴったり服で授業させられ仕込まれたローターで責められ必死に耐える！同僚教師にまで犯●れさらに調教セックス！「酷く虐げられるほど私のおマ○コはグチョグチョに濡れてしまうのです…。」	2015-03-08			36974	2249
2897	MTYD-002	妻の寝取られ記念日 春菜はな	mtyd00002	あの大ヒット作「妻の寝取られ記念日」がパワーアップして帰ってきた！主演は春菜はな。前作でも人気だった「人妻輪●サークル」の他、初の実写化「万引き妻の情景」など圧巻のラインナップでお送りします！鬼才・榊歌丸の禁忌（タブー）ストーリーと春菜のダイナマイトボディーの融合をお楽しみください！	2015-02-07			25518	2249
2898	MDYD-980	緊縛人妻中出し 春菜はな	mdyd00980	郊外のマンションに引越してきたはな夫妻。近所付き合いをしているうちに隣人が緊縛AVに出演しているAV男優の沢木という事が判明する。気味悪がりつつも興味を持ってしまうはな。沢木は、一目見た時から彼女の中に眠るM性を感じ取り彼女を緊縛恥辱する。縛られていくうちに目覚めるはなの快楽。	2015-01-10			11228	2249
2899	MDYD-969	私、実は夫の上司に犯●れ続けてます… 春菜はな	mdyd00969	以前から部下の妻、はなの色香むんむんの身体を邪な目で見つめていた金子部長。病気を装いはなに看病に来させるよう仕向けた金子はついに、はなを思う存分●す！それから部下の目を盗み、はなへの調教が始まる。強く抵抗するはなだが金子の執拗な愛撫に次第に堕ちてゆく。はなの眠っていた欲望が呼び覚まされ…。	2014-12-07			44058	2249
2900	ONSD-874	春菜はな エスワン16時間コンプリートBEST	onsd00874	2010年12月のS1デビューから4年。Kカップのおっぱいを駆使し業界TOPクラスの巨乳女優として走り続けてきた「春菜はな」の完全集大成作品！数々のS1人気シリーズから彼女ならではの豊満な肉体を使ったバリエーション豊富な46作品の中から超大ボリューム90シーンを収録！	2014-12-04			3749	565
2901	MDYD-961	熱帯夜 春菜はな	mdyd00961	リストラされ実家に戻ったマサシを迎えたのは弟の侮蔑の言葉だった。真夏の暑さの中、弟夫婦の営みを目撃したマサシの中で何かが弾ける。幼馴染である弟の妻、はなを強引に犯してしまう。我に返り、家を出ると伝えたマサシにはながとった行動とは…。熱帯夜に交わる汗と体液が光る濃密セックス。	2014-11-08			29691	2249
2902	MDYD-949	美熟女画報専属SPECIAL 熱撮ドキュメント 美しい若妻の濃厚な性交 春菜はな	mdyd00949	S級メーカーからの電撃移籍！！！Kカップ108cmの爆乳を武器に溜池ゴローに専属決定した春菜はなちゃん。明るい天然キャラに癒されます。一級男優たちと濃厚セックスの連続。野獣のような男からガツガツ突かれビクビク反応し、笑顔で奉仕するローション全身愛撫パイズリ。オヤジ男優たちとのこってり濃ゆい4Pでは絶頂の嵐！	2014-10-09				2249
2903	SNIS-223	オッパイ揉みっぱなし ノンストップで乳を揉み続ける150分間 春菜はな	snis00223	たわわな108cmのKカップおっぱいが徹底的に揉まれるとこを心行くまで堪能いただけます♪乳首をいじられながらグニョングニョンに揉みまくられるおっぱい、チンポや拳が丸々オッパイにめり込む様。「揉み」にこだわった作品で変形するおっぱいを隅々までご覧いただけます！	2014-09-04			5965	565
2904	SNIS-202	真面目すぎて何でも聞いちゃう老人介護士 春菜はな	snis00202	「ヘルパーさんの乳房は、富士山のように美しいのう」真面目がゆえに騙されて、アソコが元気な高齢者達と介護SEX！全身しゃぶられSEX・ベロベロ接吻・アナル舐め・ツバ飲ませ・イカされ・自慰見せ・3P…超乳でご老人を癒す！特別出演:新山らん	2014-08-02			43392	565
2905	SNIS-198	ダブル超乳パイズリ挟射スペシャル 春菜はな 新山らん	snis00198		2014-07-13				565
2906	SNIS-163	巨根ズボズボ 春菜はな	snis00163	「こんなに大きなチンポ見たことないです…挿れたらワタシどうなっちゃうんだろう…」野生のKカップエロス春菜はなが人気シリーズ「巨根ズボズボ」に登場！ぶっといチンポをねじ込まれKカップのボディを激震ピストン！	2014-06-05			10124	565
2907	RKI-337	ROOKIE選抜！スポコスBEST16時間 - 二宮沙樹	rki00337	汗を垂らしながら一生懸命スポーツに打ち込む女はエロい！コートだろうが、部室だろうが、どこでも構わずスポーツ美少女達とHしまくり？サッカー、バスケ、テニス、野球、陸上、水泳、柔道、剣道、弓道、ゴルフ、バドミントン、チアガール…あらゆるスポーツ娘を詰め込めるだけ収録！！ハーフタイムなんて必要ないっ！！	2014-05-17				4241
